what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482058517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482058595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482059517
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1345482063643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345482065596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345482076378
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345482084113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1345482087238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482092520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482093161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482093411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482093442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482093505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482098286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482098302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345482100677
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345482100693
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345482100708
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345482100708
