what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345485786344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345485787516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1345485799313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345485803126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345485804954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345485811736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345485813783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345485816205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345485835549
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345485839456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1345485852035
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345485852816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345485856519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345485857691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345485864410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345485865129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345485956165
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345485957806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345485964853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345485964868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345485965400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486170095
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345486170204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486171408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486172954
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345486177548
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345486184236
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345486184424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1345486188518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486189096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486191783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486196330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486289240
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1345486295069
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1345486295069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486297537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486301147
failed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1345486301162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486303350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486431121
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345486433918
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345486440683
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345486440777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345486445481
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345486452496
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345486454121
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345486454231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345486460372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486462247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486488623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486492873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486492873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345486492982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345487447782
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345487450516
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487452125
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487452219
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345487453251
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487453485
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487453579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345487464001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345487465626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345487702509
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345487706618
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487707696
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345487709571
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487709899
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487709993
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345487710384
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487710649
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345487716400
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487718322
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487718415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345487727962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345487732322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345487739682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345487814262
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345487821622
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345487830013
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345487839107
error,log,,,"Core exception while retrieving the content description",1345487874014
error,log,,,"Core exception while retrieving the content description",1345487874014
error,log,,,"Core exception while retrieving the content description",1345487874014
error,log,,,"Core exception while retrieving the content description",1345487874014
error,log,,,"Core exception while retrieving the content description",1345487874014
error,log,,,"Core exception while retrieving the content description",1345487874030
error,log,,,"Core exception while retrieving the content description",1345487874030
error,log,,,"Core exception while retrieving the content description",1345487874030
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345487876233
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345487876342
