what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345479229468
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345479234250
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345479234453
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345479234500
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345479240234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1345479244140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345479245546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345479252000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345479266656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1345479277171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345479280390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345479306437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479319578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479476953
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345479480843
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345479486984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479510937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479538312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345479542187
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345479542453
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345479542546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345479548531
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345479548796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479557000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479641250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479646515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345479647593
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1345479648937
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1345479648968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479649156
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1345479649218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479649500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479665031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479667328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479675593
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1345479675593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479675859
error,log,,,"Problems encountered during text search.",1345479696296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479700250
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345479700484
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345479701812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479707906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479708046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479724359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1345479724375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479726500
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345479769515
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345479769515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479773546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479797187
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345479799000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479822549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479823659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479846208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345479888745
