what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345490619903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345490628669
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345490633216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1345490635247
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345490635419
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345490635419
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345490635435
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345490635450
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345490643091
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345490643200
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345490643247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345490646654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345490665607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1345490669763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345490673732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345490684482
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1345490685654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345490686764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345490687795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345490688576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345490692654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345490695795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345490696248
